Part_ID,Group,School,Grade,Age,Use,Use_School,Exposure_Score,Exposure_Group,Exposure_Binary,DELE,BESA_Other,BESA_Subj,AoA_ENG,AoA_SPA,Langs,Age_Arrival,Task,Item,Verb,Short_Prop,Property,Structure,Mood_Use,Mood_Freq,DOM_Use,Agr_Use,Comp_Use,Prod_Code,Davies,CORPES,WordList,Davies_Centered,Davies_Centered_Std,Davies_Std,CORPES_Std,LOR,Composite_Freq,Use_Std,Use_Joint,Use_Joint_Std,BESA_Other_Std,BESA_Subj_Std,BESA_Total,BESA_Total_Std,DELE_Std,Exposure_Score_Std
H5M09,MLS-5,GBCS,5,NA,19,5,0,2 SPA/2 ENG,Bilingual,NA,10,3,NA,0,2,NA,EPT,EPT-06,cuidar,Polarity,Polarity indicative,Indicative,1,NA,0,0,NA,IND MODAL,208160,26928,1534607,NA,NA,-0.12945128613949522,-0.8404570398149089,NA,-0.48495416297720206,0.8369116029831429,24,1.1745020357599105,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,-0.9489249243332165
H5M09,MLS-5,GBCS,5,NA,19,5,0,2 SPA/2 ENG,Bilingual,NA,10,3,NA,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,1,1,NA,IND,60260,28864,1318934,NA,NA,-0.7558751292784892,-0.8220498021287957,NA,-0.7889624657036425,0.8369116029831429,24,1.1745020357599105,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,-0.9489249243332165
H5M09,MLS-5,GBCS,5,NA,19,5,0,2 SPA/2 ENG,Bilingual,NA,10,3,NA,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,34174,20774,NA,NA,NA,-0.866361216987237,-0.898968476137399,NA,-0.882664846562318,0.8369116029831429,24,1.1745020357599105,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,-0.9489249243332165
H5M09,MLS-5,GBCS,5,NA,19,5,0,2 SPA/2 ENG,Bilingual,NA,10,3,NA,0,2,NA,EPT,EPT-18,mirar,Intensional,Intensional indicative,Indicative,1,1,NA,1,NA,IND,186441,197558,3683993,NA,NA,-0.22144114042709367,0.7818709386879318,NA,0.2802148991304191,0.8369116029831429,24,1.1745020357599105,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,-0.9489249243332165
H5M09,MLS-5,GBCS,5,NA,19,5,0,2 SPA/2 ENG,Bilingual,NA,10,3,NA,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,1,1,NA,IND,45606,22466,893704,NA,NA,-0.8179414916676632,-0.8828811589034613,NA,-0.8504113252855623,0.8369116029831429,24,1.1745020357599105,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,-0.9489249243332165
H5M09,MLS-5,GBCS,5,NA,19,5,0,2 SPA/2 ENG,Bilingual,NA,10,3,NA,0,2,NA,EPT,EPT-28,jugar,Polarity,Polarity indicative,Indicative,1,NA,NA,1,NA,IND,216446,102028,NA,NA,NA,-0.09435630328452764,-0.12641594982157053,NA,-0.11038612655304908,0.8369116029831429,24,1.1745020357599105,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,-0.9489249243332165
H5M09,MLS-5,GBCS,5,NA,19,5,0,2 SPA/2 ENG,Bilingual,NA,10,3,NA,0,2,NA,EPT,EPT-30,tratar,Intensional,Intensional indicative,Indicative,0,0,0,1,NA,SUBJ,590952,203027,9516595,NA,NA,1.4918471301070348,0.8338694835770605,NA,1.1628583068420477,0.8369116029831429,24,1.1745020357599105,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,-0.9489249243332165
H5M09,MLS-5,GBCS,5,NA,19,5,0,2 SPA/2 ENG,Bilingual,NA,10,3,NA,0,2,NA,EPT,EPT-36,llamar,Intensional,Intensional indicative,Indicative,1,1,1,1,NA,PER FUT,303936,207733,8248273,NA,NA,0.2762036834377887,0.8786135231177882,NA,0.5774086032777884,0.8369116029831429,24,1.1745020357599105,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,-0.9489249243332165
H5M09,MLS-5,GBCS,5,NA,19,5,0,2 SPA/2 ENG,Bilingual,NA,10,3,NA,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,PER FUT MODAL,7583,4193,347240,NA,NA,-0.9789862096370612,-1.056618480307566,NA,-1.0178023449723135,0.8369116029831429,24,1.1745020357599105,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,-0.9489249243332165
H5M10,MLS-5,RBMS,5,NA,11,0,2,2 SPA/0 ENG,Monolingual,NA,11,0,3,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,60260,28864,1318934,NA,NA,-0.7558751292784892,-0.8220498021287957,NA,-0.7889624657036425,-0.888947557572769,11,-1.157375758952976,0.8088119114161013,-1.5658851890009888,11,-0.047361489630665166,NA,1.2341509131501367
H5M10,MLS-5,RBMS,5,NA,11,0,2,2 SPA/0 ENG,Monolingual,NA,11,0,3,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,34174,20774,NA,NA,NA,-0.866361216987237,-0.898968476137399,NA,-0.882664846562318,-0.888947557572769,11,-1.157375758952976,0.8088119114161013,-1.5658851890009888,11,-0.047361489630665166,NA,1.2341509131501367
H5M10,MLS-5,RBMS,5,NA,11,0,2,2 SPA/0 ENG,Monolingual,NA,11,0,3,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,0,0,0,1,NA,IND,45606,22466,893704,NA,NA,-0.8179414916676632,-0.8828811589034613,NA,-0.8504113252855623,-0.888947557572769,11,-1.157375758952976,0.8088119114161013,-1.5658851890009888,11,-0.047361489630665166,NA,1.2341509131501367
H5M10,MLS-5,RBMS,5,NA,11,0,2,2 SPA/0 ENG,Monolingual,NA,11,0,3,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,FUTURE,7583,4193,347240,NA,NA,-0.9789862096370612,-1.056618480307566,NA,-1.0178023449723135,-0.888947557572769,11,-1.157375758952976,0.8088119114161013,-1.5658851890009888,11,-0.047361489630665166,NA,1.2341509131501367
H5M11,MLS-5,GBCS,5,NA,20,4,0,2 SPA/2 ENG,Bilingual,NA,8,2,NA,0,2,NA,EPT,EPT-04,cenar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,16244,9564,NA,NA,NA,-0.9423029310337696,-1.0055517067475899,NA,-0.9739273188906797,1.0526439980526319,24,1.1745020357599105,-0.543739100111662,0.06132709617497251,10,-0.40985904488075287,NA,-0.9489249243332165
H5M11,MLS-5,GBCS,5,NA,20,4,0,2 SPA/2 ENG,Bilingual,NA,8,2,NA,0,2,NA,EPT,EPT-06,cuidar,Polarity,Polarity indicative,Indicative,1,1,1,1,NA,IND,208160,26928,1534607,NA,NA,-0.12945128613949522,-0.8404570398149089,NA,-0.48495416297720206,1.0526439980526319,24,1.1745020357599105,-0.543739100111662,0.06132709617497251,10,-0.40985904488075287,NA,-0.9489249243332165
H5M11,MLS-5,GBCS,5,NA,20,4,0,2 SPA/2 ENG,Bilingual,NA,8,2,NA,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,1,1,NA,IND,60260,28864,1318934,NA,NA,-0.7558751292784892,-0.8220498021287957,NA,-0.7889624657036425,1.0526439980526319,24,1.1745020357599105,-0.543739100111662,0.06132709617497251,10,-0.40985904488075287,NA,-0.9489249243332165
H5M11,MLS-5,GBCS,5,NA,20,4,0,2 SPA/2 ENG,Bilingual,NA,8,2,NA,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,34174,20774,NA,NA,NA,-0.866361216987237,-0.898968476137399,NA,-0.882664846562318,1.0526439980526319,24,1.1745020357599105,-0.543739100111662,0.06132709617497251,10,-0.40985904488075287,NA,-0.9489249243332165
H5M11,MLS-5,GBCS,5,NA,20,4,0,2 SPA/2 ENG,Bilingual,NA,8,2,NA,0,2,NA,EPT,EPT-18,mirar,Intensional,Intensional indicative,Indicative,1,1,1,1,NA,IND,186441,197558,3683993,NA,NA,-0.22144114042709367,0.7818709386879318,NA,0.2802148991304191,1.0526439980526319,24,1.1745020357599105,-0.543739100111662,0.06132709617497251,10,-0.40985904488075287,NA,-0.9489249243332165
H5M11,MLS-5,GBCS,5,NA,20,4,0,2 SPA/2 ENG,Bilingual,NA,8,2,NA,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,45606,22466,893704,NA,NA,-0.8179414916676632,-0.8828811589034613,NA,-0.8504113252855623,1.0526439980526319,24,1.1745020357599105,-0.543739100111662,0.06132709617497251,10,-0.40985904488075287,NA,-0.9489249243332165
H5M11,MLS-5,GBCS,5,NA,20,4,0,2 SPA/2 ENG,Bilingual,NA,8,2,NA,0,2,NA,EPT,EPT-28,jugar,Polarity,Polarity indicative,Indicative,0,0,NA,1,NA,SUBJ,216446,102028,NA,NA,NA,-0.09435630328452764,-0.12641594982157053,NA,-0.11038612655304908,1.0526439980526319,24,1.1745020357599105,-0.543739100111662,0.06132709617497251,10,-0.40985904488075287,NA,-0.9489249243332165
H5M11,MLS-5,GBCS,5,NA,20,4,0,2 SPA/2 ENG,Bilingual,NA,8,2,NA,0,2,NA,EPT,EPT-30,tratar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,590952,203027,9516595,NA,NA,1.4918471301070348,0.8338694835770605,NA,1.1628583068420477,1.0526439980526319,24,1.1745020357599105,-0.543739100111662,0.06132709617497251,10,-0.40985904488075287,NA,-0.9489249243332165
H5M11,MLS-5,GBCS,5,NA,20,4,0,2 SPA/2 ENG,Bilingual,NA,8,2,NA,0,2,NA,EPT,EPT-36,llamar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,SUBJ,303936,207733,8248273,NA,NA,0.2762036834377887,0.8786135231177882,NA,0.5774086032777884,1.0526439980526319,24,1.1745020357599105,-0.543739100111662,0.06132709617497251,10,-0.40985904488075287,NA,-0.9489249243332165
H5M11,MLS-5,GBCS,5,NA,20,4,0,2 SPA/2 ENG,Bilingual,NA,8,2,NA,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,0,0,NA,1,NA,SUBJ,7583,4193,347240,NA,NA,-0.9789862096370612,-1.056618480307566,NA,-1.0178023449723135,1.0526439980526319,24,1.1745020357599105,-0.543739100111662,0.06132709617497251,10,-0.40985904488075287,NA,-0.9489249243332165
H5M12,MLS-5,GBCS,5,NA,18,4,1,2 SPA/1 ENG,Bilingual,NA,10,1,NA,0,2,NA,EPT,EPT-04,cenar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,16244,9564,NA,NA,NA,-0.9423029310337696,-1.0055517067475899,NA,-0.9739273188906797,0.6211792079136539,22,0.8157516058040818,0.3579615742401802,-0.7522790464130081,11,-0.047361489630665166,NA,0.14261299440846
H5M12,MLS-5,GBCS,5,NA,18,4,1,2 SPA/1 ENG,Bilingual,NA,10,1,NA,0,2,NA,EPT,EPT-06,cuidar,Polarity,Polarity indicative,Indicative,1,1,0,1,NA,IND,208160,26928,1534607,NA,NA,-0.12945128613949522,-0.8404570398149089,NA,-0.48495416297720206,0.6211792079136539,22,0.8157516058040818,0.3579615742401802,-0.7522790464130081,11,-0.047361489630665166,NA,0.14261299440846
H5M12,MLS-5,GBCS,5,NA,18,4,1,2 SPA/1 ENG,Bilingual,NA,10,1,NA,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,60260,28864,1318934,NA,NA,-0.7558751292784892,-0.8220498021287957,NA,-0.7889624657036425,0.6211792079136539,22,0.8157516058040818,0.3579615742401802,-0.7522790464130081,11,-0.047361489630665166,NA,0.14261299440846
H5M12,MLS-5,GBCS,5,NA,18,4,1,2 SPA/1 ENG,Bilingual,NA,10,1,NA,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,34174,20774,NA,NA,NA,-0.866361216987237,-0.898968476137399,NA,-0.882664846562318,0.6211792079136539,22,0.8157516058040818,0.3579615742401802,-0.7522790464130081,11,-0.047361489630665166,NA,0.14261299440846
H5M12,MLS-5,GBCS,5,NA,18,4,1,2 SPA/1 ENG,Bilingual,NA,10,1,NA,0,2,NA,EPT,EPT-18,mirar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,186441,197558,3683993,NA,NA,-0.22144114042709367,0.7818709386879318,NA,0.2802148991304191,0.6211792079136539,22,0.8157516058040818,0.3579615742401802,-0.7522790464130081,11,-0.047361489630665166,NA,0.14261299440846
H5M12,MLS-5,GBCS,5,NA,18,4,1,2 SPA/1 ENG,Bilingual,NA,10,1,NA,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,NA,1,NA,IND,45606,22466,893704,NA,NA,-0.8179414916676632,-0.8828811589034613,NA,-0.8504113252855623,0.6211792079136539,22,0.8157516058040818,0.3579615742401802,-0.7522790464130081,11,-0.047361489630665166,NA,0.14261299440846
H5M12,MLS-5,GBCS,5,NA,18,4,1,2 SPA/1 ENG,Bilingual,NA,10,1,NA,0,2,NA,EPT,EPT-28,jugar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,216446,102028,NA,NA,NA,-0.09435630328452764,-0.12641594982157053,NA,-0.11038612655304908,0.6211792079136539,22,0.8157516058040818,0.3579615742401802,-0.7522790464130081,11,-0.047361489630665166,NA,0.14261299440846
H5M12,MLS-5,GBCS,5,NA,18,4,1,2 SPA/1 ENG,Bilingual,NA,10,1,NA,0,2,NA,EPT,EPT-30,tratar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,590952,203027,9516595,NA,NA,1.4918471301070348,0.8338694835770605,NA,1.1628583068420477,0.6211792079136539,22,0.8157516058040818,0.3579615742401802,-0.7522790464130081,11,-0.047361489630665166,NA,0.14261299440846
H5M12,MLS-5,GBCS,5,NA,18,4,1,2 SPA/1 ENG,Bilingual,NA,10,1,NA,0,2,NA,EPT,EPT-36,llamar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,303936,207733,8248273,NA,NA,0.2762036834377887,0.8786135231177882,NA,0.5774086032777884,0.6211792079136539,22,0.8157516058040818,0.3579615742401802,-0.7522790464130081,11,-0.047361489630665166,NA,0.14261299440846
H5M12,MLS-5,GBCS,5,NA,18,4,1,2 SPA/1 ENG,Bilingual,NA,10,1,NA,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,7583,4193,347240,NA,NA,-0.9789862096370612,-1.056618480307566,NA,-1.0178023449723135,0.6211792079136539,22,0.8157516058040818,0.3579615742401802,-0.7522790464130081,11,-0.047361489630665166,NA,0.14261299440846
