Part_ID,Group,School,Grade,Age,Use,Use_School,Exposure_Score,Exposure_Group,Exposure_Binary,DELE,BESA_Other,BESA_Subj,AoA_ENG,AoA_SPA,Langs,Age_Arrival,Task,Item,Verb,Short_Prop,Property,Structure,Mood_Use,Mood_Freq,DOM_Use,Agr_Use,Comp_Use,Prod_Code,Davies,CORPES,WordList,Davies_Std,CORPES_Std,LOR,Composite_Freq,Use_Std,Use_Joint,Use_Joint_Std,BESA_Other_Std,BESA_Subj_Std,BESA_Total,BESA_Total_Std,DELE_Std,Exposure_Score_Std,Mood
L2L03,L2 Learners,NA,NA,20,3,1,-2,0 SPA/2 ENG,ENG ML,28,11,0,0,NA,2,NA,FCT,FCT-03,mirar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,186441,197558,3683993,-0.10659234765645834,0.8384533657585245,NA,0.3659305090510331,-0.4189956748671424,4,-0.6500645979033973,-0.1805179684534583,-1.4089530812446454,11,-0.8941259863471511,-0.19509496922979755,-1.205639234040133,Indicative
L2L03,L2 Learners,NA,NA,20,3,1,-2,0 SPA/2 ENG,ENG ML,28,11,0,0,NA,2,NA,FCT,FCT-11,llevar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,418316,301022,13841181,1.2280164205491535,1.8322740287278596,NA,1.5301452246385066,-0.4189956748671424,4,-0.6500645979033973,-0.1805179684534583,-1.4089530812446454,11,-0.8941259863471511,-0.19509496922979755,-1.205639234040133,Indicative
L2L03,L2 Learners,NA,NA,20,3,1,-2,0 SPA/2 ENG,ENG ML,28,11,0,0,NA,2,NA,FCT,FCT-18,peinar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,6151,3173,91504,-1.1442920342108076,-1.0287065117959315,NA,-1.0864992730033696,-0.4189956748671424,4,-0.6500645979033973,-0.1805179684534583,-1.4089530812446454,11,-0.8941259863471511,-0.19509496922979755,-1.205639234040133,Indicative
L2L03,L2 Learners,NA,NA,20,3,1,-2,0 SPA/2 ENG,ENG ML,28,11,0,0,NA,2,NA,FCT,FCT-26,llamar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,303936,207733,8248273,0.5696765783610872,0.9361890539758077,NA,0.7529328161684474,-0.4189956748671424,4,-0.6500645979033973,-0.1805179684534583,-1.4089530812446454,11,-0.8941259863471511,-0.19509496922979755,-1.205639234040133,Indicative
L2L03,L2 Learners,NA,NA,20,3,1,-2,0 SPA/2 ENG,ENG ML,28,11,0,0,NA,2,NA,FCT,FCT-33,cuidar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,208160,26928,1534607,0.01841624678734838,-0.8005284996483579,NA,-0.39105612643050475,-0.4189956748671424,4,-0.6500645979033973,-0.1805179684534583,-1.4089530812446454,11,-0.8941259863471511,-0.19509496922979755,-1.205639234040133,Indicative
L2L03,L2 Learners,NA,NA,20,3,1,-2,0 SPA/2 ENG,ENG ML,28,11,0,0,NA,2,NA,FCT,FCT-41,pintar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,45606,22466,893704,-0.9171998985793148,-0.8433881203683105,NA,-0.8802940094738126,-0.4189956748671424,4,-0.6500645979033973,-0.1805179684534583,-1.4089530812446454,11,-0.8941259863471511,-0.19509496922979755,-1.205639234040133,Indicative
L2L03,L2 Learners,NA,NA,20,3,1,-2,0 SPA/2 ENG,ENG ML,28,11,0,0,NA,2,NA,FCT,FCT-46,tratar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,590952,203027,9516595,2.2216617868367825,0.8909856978332489,NA,1.5563237423350156,-0.4189956748671424,4,-0.6500645979033973,-0.1805179684534583,-1.4089530812446454,11,-0.8941259863471511,-0.19509496922979755,-1.205639234040133,Indicative
L2L03,L2 Learners,NA,NA,20,3,1,-2,0 SPA/2 ENG,ENG ML,28,11,0,0,NA,2,NA,FCT,FCT-55,amar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,60260,28864,1318934,-0.832855502291293,-0.7819323038362045,NA,-0.8073939030637487,-0.4189956748671424,4,-0.6500645979033973,-0.1805179684534583,-1.4089530812446454,11,-0.8941259863471511,-0.19509496922979755,-1.205639234040133,Indicative
L2L04,L2 Learners,NA,NA,21,5,4,-2,0 SPA/2 ENG,ENG ML,29,13,4,0,NA,2,NA,FCT,FCT-03,mirar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,186441,197558,3683993,-0.10659234765645834,0.8384533657585245,NA,0.3659305090510331,0.1611521826412114,9,0.5200516783227246,0.9025898422672897,1.0063950580318874,17,1.1176574829339394,-0.0805827046818733,-1.205639234040133,Indicative
L2L04,L2 Learners,NA,NA,21,5,4,-2,0 SPA/2 ENG,ENG ML,29,13,4,0,NA,2,NA,FCT,FCT-11,llevar,DOM,DOM,DOM,NA,NA,0,NA,NA,NA,418316,301022,13841181,1.2280164205491535,1.8322740287278596,NA,1.5301452246385066,0.1611521826412114,9,0.5200516783227246,0.9025898422672897,1.0063950580318874,17,1.1176574829339394,-0.0805827046818733,-1.205639234040133,Indicative
